component,contribution_percent
1,60.300764986091046
2,31.001404443894963
3,5.093433481029115
4,1.8372496543010148
5,1.0236812868693523
6,0.4793626736064162
7,0.21047877458848568
8,0.049310152807917736
9,0.0041386881319960545
10,0.0001044960878604577
11,6.198307120031517e-05
12,9.07845040319603e-06
13,2.860516547705511e-07
14,1.4892125557526908e-08
15,1.2594008219451117e-10
16,5.295120674325302e-13
17,4.829660460935715e-15
18,2.5319665716683377e-15
19,1.7739668167612064e-15
20,-1.5789826549765673e-15
