L,metric,contrast,mean_difference,ci_low,ci_high,positive_favors
1,zRMSE,KRR-L2 minus KRR-RKHS,-0.10046129092270065,-0.11517339658022718,-0.08574918526517411,KRR-RKHS
1,dX_peak,KRR-L2 minus KRR-RKHS,-0.0995,-0.117242496134072,-0.081757503865928,KRR-RKHS
1,RMSE,KRR-L2 minus KRR-RKHS,-0.048085978084666754,-0.05401223510518638,-0.04215972106414713,KRR-RKHS
1,cRMSE_z,KRR-L2 minus KRR-RKHS,-0.10046129092270065,-0.11517339658022718,-0.08574918526517411,KRR-RKHS
2,zRMSE,KRR-L2 minus KRR-RKHS,-0.13848375679074926,-0.1585083269586217,-0.11845918662287683,KRR-RKHS
2,dX_peak,KRR-L2 minus KRR-RKHS,-0.10698333333333336,-0.12672696703867148,-0.08723969962799523,KRR-RKHS
2,RMSE,KRR-L2 minus KRR-RKHS,-0.07231889172065699,-0.08107305674488614,-0.06356472669642783,KRR-RKHS
2,cRMSE_z,KRR-L2 minus KRR-RKHS,-0.13848375679074926,-0.1585083269586217,-0.11845918662287683,KRR-RKHS
3,zRMSE,KRR-L2 minus KRR-RKHS,-0.1504135402714787,-0.17329342620102298,-0.12753365434193445,KRR-RKHS
3,dX_peak,KRR-L2 minus KRR-RKHS,-0.1008166666666667,-0.12015681163427101,-0.08147652169906237,KRR-RKHS
3,RMSE,KRR-L2 minus KRR-RKHS,-0.07518785236105226,-0.0851947345571652,-0.06518097016493932,KRR-RKHS
3,cRMSE_z,KRR-L2 minus KRR-RKHS,-0.1504135402714787,-0.17329342620102298,-0.12753365434193445,KRR-RKHS
4,zRMSE,KRR-L2 minus KRR-RKHS,-0.1320129732661668,-0.15419147860761848,-0.10983446792471512,KRR-RKHS
4,dX_peak,KRR-L2 minus KRR-RKHS,-0.07758333333333334,-0.09529111048609287,-0.05987555618057381,KRR-RKHS
4,RMSE,KRR-L2 minus KRR-RKHS,-0.0637357861260403,-0.0735234984373555,-0.053948073814725106,KRR-RKHS
4,cRMSE_z,KRR-L2 minus KRR-RKHS,-0.1320129732661668,-0.15419147860761848,-0.10983446792471512,KRR-RKHS
5,zRMSE,KRR-L2 minus KRR-RKHS,-0.08233331103155514,-0.10122226028257089,-0.06344436178053939,KRR-RKHS
5,dX_peak,KRR-L2 minus KRR-RKHS,-0.05361666666666667,-0.06794289845585319,-0.039290434877480136,KRR-RKHS
5,RMSE,KRR-L2 minus KRR-RKHS,-0.03858974198247744,-0.04695848122571464,-0.030221002739240235,KRR-RKHS
5,cRMSE_z,KRR-L2 minus KRR-RKHS,-0.08233331103155514,-0.10122226028257089,-0.06344436178053939,KRR-RKHS
