L,condition,metric,mean,ci_low,ci_high
1,Raw,zRMSE,0.9128629498889296,0.90658546675194,0.9191404330259192
1,L2,zRMSE,0.8756556943501969,0.8692196432030893,0.8820917454973044
1,RKHS,zRMSE,0.9761169852728976,0.9606842546285852,0.99154971591721
2,Raw,zRMSE,0.6928865189407648,0.686959821795451,0.6988132160860786
2,L2,zRMSE,0.6405536485419739,0.6344069480776321,0.6467003490063158
2,RKHS,zRMSE,0.7790374053327233,0.7590224156753002,0.7990523949901464
3,Raw,zRMSE,0.5592393834434185,0.5542462321704958,0.5642325347163412
3,L2,zRMSE,0.4810738625834377,0.4760580788932612,0.4860896462736142
3,RKHS,zRMSE,0.6314874028549164,0.608651408637419,0.6543233970724139
4,Raw,zRMSE,0.4922125032371563,0.4878729891938328,0.4965520172804798
4,L2,zRMSE,0.3843677889477949,0.3797417730096026,0.3889938048859872
4,RKHS,zRMSE,0.5163807622139618,0.4945597618139136,0.53820176261401
5,Raw,zRMSE,0.4836557064524643,0.4800596804558487,0.48725173244908
5,L2,zRMSE,0.3398056583066247,0.3352669070298922,0.3443444095833571
5,RKHS,zRMSE,0.4221389693381799,0.4033773609177698,0.44090057775859
