N_obs,SNR,L,target,method,metric,mean,ci_low,ci_high
50,0.5,1,OracleRKHS,L2,function_mean_cos2,0.3674633877140917,0.3323318623043099,0.4025949131238735
50,0.5,1,OracleRKHS,RKHS,function_mean_cos2,0.5515201418892933,0.5139094100886705,0.5891308736899161
50,0.5,1,OracleL2,L2,function_mean_cos2,0.7124669894080142,0.674233572431009,0.7507004063850194
50,0.5,1,OracleL2,RKHS,function_mean_cos2,0.7713096614030016,0.734519497860845,0.8080998249451582
50,0.5,2,OracleRKHS,L2,function_mean_cos2,0.5847106058273838,0.5658809629148674,0.6035402487399001
50,0.5,2,OracleRKHS,RKHS,function_mean_cos2,0.669616903998779,0.6498720717287946,0.6893617362687635
50,0.5,2,OracleL2,L2,function_mean_cos2,0.8901357387457781,0.877298545941312,0.9029729315502443
50,0.5,2,OracleL2,RKHS,function_mean_cos2,0.8712005393090309,0.8527672384689812,0.8896338401490805
50,0.5,3,OracleRKHS,L2,function_mean_cos2,0.7350335273954685,0.7239499893737635,0.7461170654171734
50,0.5,3,OracleRKHS,RKHS,function_mean_cos2,0.780887755021078,0.7660151338119793,0.7957603762301767
50,0.5,3,OracleL2,L2,function_mean_cos2,0.8867792739271745,0.8731364738404833,0.9004220740138656
50,0.5,3,OracleL2,RKHS,function_mean_cos2,0.8854523530571893,0.871320686632726,0.8995840194816526
50,1.0,1,OracleRKHS,L2,function_mean_cos2,0.5656671842629052,0.5235184173985823,0.6078159511272281
50,1.0,1,OracleRKHS,RKHS,function_mean_cos2,0.8756612323206955,0.8547293345534616,0.8965931300879294
50,1.0,1,OracleL2,L2,function_mean_cos2,0.927634790826243,0.9078087288067793,0.9474608528457067
50,1.0,1,OracleL2,RKHS,function_mean_cos2,0.7457728616760853,0.7057749903299557,0.7857707330222148
50,1.0,2,OracleRKHS,L2,function_mean_cos2,0.7278676211142385,0.7082958745240449,0.7474393677044322
50,1.0,2,OracleRKHS,RKHS,function_mean_cos2,0.8907408561140151,0.8791970661449923,0.9022846460830379
50,1.0,2,OracleL2,L2,function_mean_cos2,0.9712629217962038,0.9653579156675687,0.9771679279248389
50,1.0,2,OracleL2,RKHS,function_mean_cos2,0.832853973918852,0.8118303633454802,0.8538775844922237
50,1.0,3,OracleRKHS,L2,function_mean_cos2,0.8234850072047712,0.8102190741762745,0.836750940233268
50,1.0,3,OracleRKHS,RKHS,function_mean_cos2,0.8776396636689597,0.8675093456678614,0.887769981670058
50,1.0,3,OracleL2,L2,function_mean_cos2,0.9609901481926428,0.9526649096430266,0.969315386742259
50,1.0,3,OracleL2,RKHS,function_mean_cos2,0.910450055866468,0.8983566634272128,0.9225434483057232
50,2.0,1,OracleRKHS,L2,function_mean_cos2,0.6307890832859845,0.5919210970615141,0.6696570695104549
50,2.0,1,OracleRKHS,RKHS,function_mean_cos2,0.8687188158965438,0.8502955378781637,0.8871420939149238
50,2.0,1,OracleL2,L2,function_mean_cos2,0.9787615633787076,0.9703975856801952,0.98712554107722
50,2.0,1,OracleL2,RKHS,function_mean_cos2,0.6996296200492534,0.658615573463713,0.7406436666347939
50,2.0,2,OracleRKHS,L2,function_mean_cos2,0.732721128588646,0.7120243434436622,0.7534179137336299
50,2.0,2,OracleRKHS,RKHS,function_mean_cos2,0.8142206140329361,0.7983779800209782,0.8300632480448941
50,2.0,2,OracleL2,L2,function_mean_cos2,0.9887912646773507,0.9845698003654733,0.9930127289892281
50,2.0,2,OracleL2,RKHS,function_mean_cos2,0.7885355465284135,0.766071774866726,0.8109993181901011
50,2.0,3,OracleRKHS,L2,function_mean_cos2,0.8213469524384617,0.8094144126467764,0.833279492230147
50,2.0,3,OracleRKHS,RKHS,function_mean_cos2,0.735187725112116,0.7214347583158757,0.7489406919083564
50,2.0,3,OracleL2,L2,function_mean_cos2,0.9874489420435637,0.983545861163676,0.9913520229234514
50,2.0,3,OracleL2,RKHS,function_mean_cos2,0.8790515834329378,0.8640799682309219,0.8940231986349536
