N_obs,SNR,L,rep,oracle_l2_to_rkhs_mean_cos2
15,0.5,1,0,0.9375964802412824
15,0.5,2,0,0.9855521633810433
15,0.5,3,0,0.9306948784629506
15,0.5,1,1,0.6091996809505161
15,0.5,2,1,0.934675837852386
15,0.5,3,1,0.9026680698900565
15,0.5,1,2,0.9488612533150648
15,0.5,2,2,0.7871057490441884
15,0.5,3,2,0.9773217781332021
15,0.5,1,3,0.9618970714237605
15,0.5,2,3,0.8780711395808636
15,0.5,3,3,0.9789085980921243
15,0.5,1,4,0.6765043275628684
15,0.5,2,4,0.8140971092175739
15,0.5,3,4,0.8870969700720005
15,0.5,1,5,0.8271569659892577
15,0.5,2,5,0.5864954758143374
15,0.5,3,5,0.9835341600444544
15,0.5,1,6,0.0034105796121132407
15,0.5,2,6,0.7169724310388016
15,0.5,3,6,0.8385549247521643
15,0.5,1,7,0.9792383378383537
15,0.5,2,7,0.9024205092054811
15,0.5,3,7,0.7296826101468761
15,0.5,1,8,0.95494425373864
15,0.5,2,8,0.7656087316495099
15,0.5,3,8,0.7336411140395832
15,0.5,1,9,0.7595842602471117
15,0.5,2,9,0.6271237429387324
15,0.5,3,9,0.9815830997983332
15,0.5,1,10,0.9274125021318423
15,0.5,2,10,0.8975315573471727
15,0.5,3,10,0.9985332791531323
15,0.5,1,11,0.8977256947545688
15,0.5,2,11,0.8962547923216133
15,0.5,3,11,0.9989144709933568
15,0.5,1,12,0.681369054000235
15,0.5,2,12,0.8868580484018909
15,0.5,3,12,0.9169320245266688
15,0.5,1,13,0.7941951962302228
15,0.5,2,13,0.9074716386150419
15,0.5,3,13,0.8755187343993778
15,0.5,1,14,0.26913282339293837
15,0.5,2,14,0.7737566605071639
15,0.5,3,14,0.9125835170473905
15,0.5,1,15,0.14940699076664468
15,0.5,2,15,0.9069235263128093
15,0.5,3,15,0.694103277870132
15,0.5,1,16,0.05193706313562354
15,0.5,2,16,0.8192074841340233
15,0.5,3,16,0.9303304120272063
15,0.5,1,17,0.7022604748410036
15,0.5,2,17,0.9251723961938247
15,0.5,3,17,0.9656912625626535
15,0.5,1,18,0.2868036614051075
15,0.5,2,18,0.6815430843423961
15,0.5,3,18,0.9642527580969382
15,0.5,1,19,0.9820710620353347
15,0.5,2,19,0.7253621344370618
15,0.5,3,19,0.9838771677470589
15,0.5,1,20,0.7102852575735352
15,0.5,2,20,0.49798349021157645
15,0.5,3,20,0.9555258399245922
15,0.5,1,21,0.9294662335477812
15,0.5,2,21,0.9078087332453247
15,0.5,3,21,0.8936758304342739
15,0.5,1,22,0.9332086641910092
15,0.5,2,22,0.9540643589724715
15,0.5,3,22,0.9116987801219164
15,0.5,1,23,0.2999454735816164
15,0.5,2,23,0.8774971023333487
15,0.5,3,23,0.9914954045758079
15,0.5,1,24,0.7096388980551075
15,0.5,2,24,0.6628714138812295
15,0.5,3,24,0.8300135413022313
15,0.5,1,25,0.7404358855633674
15,0.5,2,25,0.925632524950639
15,0.5,3,25,0.8625983286247446
15,0.5,1,26,0.002685697940324049
15,0.5,2,26,0.9619477541962718
15,0.5,3,26,0.9711756755760476
15,0.5,1,27,0.4311389407877863
15,0.5,2,27,0.7668781283051282
15,0.5,3,27,0.7176241456322789
15,0.5,1,28,0.8725638237178106
15,0.5,2,28,0.7088020014413448
15,0.5,3,28,0.8045715893230315
15,0.5,1,29,0.35396282129999806
15,0.5,2,29,0.896871108218189
15,0.5,3,29,0.8262219917844629
15,0.5,1,30,0.9238093299114752
15,0.5,2,30,0.943842062734713
15,0.5,3,30,0.9450838144388324
15,0.5,1,31,0.7862738204903396
15,0.5,2,31,0.7690162898603818
15,0.5,3,31,0.8706185961557934
15,0.5,1,32,0.4928249372559403
15,0.5,2,32,0.8083885196660012
15,0.5,3,32,0.6698442276336313
15,0.5,1,33,0.5397721349064751
15,0.5,2,33,0.49890398711450545
15,0.5,3,33,0.7009145244797801
15,0.5,1,34,0.8619434998621402
15,0.5,2,34,0.764119329682815
15,0.5,3,34,0.7793560447324822
15,0.5,1,35,0.9338762314871354
15,0.5,2,35,0.9783215493891814
15,0.5,3,35,0.9146827821225716
15,0.5,1,36,0.040018681934190344
15,0.5,2,36,0.973024355514085
15,0.5,3,36,0.7681687873081091
15,0.5,1,37,0.2223908577871223
15,0.5,2,37,0.6633254779351445
15,0.5,3,37,0.8289905788496527
15,0.5,1,38,0.7819667836050175
15,0.5,2,38,0.5075026150834578
15,0.5,3,38,0.9541959980037221
15,0.5,1,39,0.9250691200530584
15,0.5,2,39,0.9232286968336442
15,0.5,3,39,0.9983223708379608
15,0.5,1,40,0.5502750787015371
15,0.5,2,40,0.9057900958165499
15,0.5,3,40,0.6705824820379811
15,0.5,1,41,0.7018135984058017
15,0.5,2,41,0.86876510521034
15,0.5,3,41,0.9086896950188548
15,0.5,1,42,0.9190458374044508
15,0.5,2,42,0.9603786747625901
15,0.5,3,42,0.9584052340069835
15,0.5,1,43,0.770457286517766
15,0.5,2,43,0.9077903554774063
15,0.5,3,43,0.739403036460803
15,0.5,1,44,0.794236444830938
15,0.5,2,44,0.5645797357769942
15,0.5,3,44,0.9818649038907301
15,0.5,1,45,0.2574092588665867
15,0.5,2,45,0.9481653227301956
15,0.5,3,45,0.978644994327614
15,0.5,1,46,0.9750184644101002
15,0.5,2,46,0.8769757988475688
15,0.5,3,46,0.979506625535755
15,0.5,1,47,0.6967423544141685
15,0.5,2,47,0.7757646217689738
15,0.5,3,47,0.8075192844563382
15,0.5,1,48,0.6305970028118841
15,0.5,2,48,0.8929066826510695
15,0.5,3,48,0.7442878824521147
15,0.5,1,49,0.8913702366126675
15,0.5,2,49,0.7674510467866824
15,0.5,3,49,0.8841690559878281
15,0.5,1,50,0.5585502482007845
15,0.5,2,50,0.9466650366544804
