N_obs,SNR,L,mean,ci_low,ci_high
15,0.5,1,0.654469006176419,0.6141305946626631,0.694807417690175
15,0.5,2,0.8166493971942017,0.797822338022196,0.8354764563662074
15,0.5,3,0.8770420875729471,0.8625652836534058,0.8915188914924884
15,1.0,1,0.6470132782052227,0.6074044009108126,0.6866221554996328
15,1.0,2,0.8043240339687227,0.7845297414909214,0.8241183264465239
15,1.0,3,0.8898524223509487,0.8752154222375994,0.9044894224642981
15,2.0,1,0.6468702030293367,0.6062505933276958,0.6874898127309776
15,2.0,2,0.8144904123004163,0.7936454510011872,0.8353353735996454
15,2.0,3,0.8714458103110769,0.8566217933834789,0.886269827238675
30,0.5,1,0.6867577688465851,0.6455013231066703,0.7280142145865
30,0.5,2,0.8040064145438169,0.7826777978326315,0.8253350312550024
30,0.5,3,0.8732923428407213,0.8588230508535736,0.8877616348278691
30,1.0,1,0.6998235238822998,0.6616575533449457,0.737989494419654
30,1.0,2,0.8137789062054895,0.7934205159765646,0.8341372964344145
30,1.0,3,0.8812087351685196,0.8671814255006786,0.8952360448363607
30,2.0,1,0.7081008493500585,0.6720512128746724,0.7441504858254445
30,2.0,2,0.8145265347418342,0.7944606967616867,0.8345923727219817
30,2.0,3,0.8792063629525566,0.8642955020781792,0.894117223826934
50,0.5,1,0.6541817941858925,0.6122343425535861,0.6961292458181989
50,0.5,2,0.8215547393332604,0.8015450699020954,0.8415644087644254
50,0.5,3,0.8923691885322665,0.8776130548263942,0.9071253222381389
50,1.0,1,0.6756169918627296,0.6352549251045647,0.7159790586208945
50,1.0,2,0.7999485714701174,0.7784770589980389,0.821420083942196
50,1.0,3,0.8835427197689301,0.8693851623260803,0.8977002772117798
50,2.0,1,0.6665092567556761,0.6253560695816789,0.7076624439296733
50,2.0,2,0.8074416026100348,0.7866560251581232,0.8282271800619465
50,2.0,3,0.8837448379532,0.8697830762702048,0.8977065996361953
