N_obs,SNR,L,target,metric,rkhs_advantage,ci_low,ci_high
15,0.5,1,OracleRKHS,function_mean_cos2,0.13034703789701294,0.10569445523166177,0.1549996205623641
15,0.5,1,OracleL2,function_mean_cos2,0.11222694369532395,0.07788212313873275,0.14657176425191515
15,0.5,2,OracleRKHS,function_mean_cos2,0.0807107703050111,0.06824069397079487,0.09318084663922734
15,0.5,2,OracleL2,function_mean_cos2,-0.019807899308005708,-0.033914700602336666,-0.005701098013674749
15,0.5,3,OracleRKHS,function_mean_cos2,0.025945229330198306,0.01715729523525529,0.03473316342514132
15,0.5,3,OracleL2,function_mean_cos2,-0.009250610542526938,-0.019256562085325033,0.0007553410002711577
15,1.0,1,OracleRKHS,function_mean_cos2,0.24567439532155524,0.21506842076746358,0.2762803698756469
15,1.0,1,OracleL2,function_mean_cos2,-0.011168372192307326,-0.05692331402595589,0.03458656964134124
15,1.0,2,OracleRKHS,function_mean_cos2,0.0830502118353723,0.06477069833208544,0.10132972533865915
15,1.0,2,OracleL2,function_mean_cos2,-0.062391390463302,-0.08614074805419433,-0.038642032872409665
15,1.0,3,OracleRKHS,function_mean_cos2,-0.0041043923852818655,-0.021522238948623963,0.013313454178060234
15,1.0,3,OracleL2,function_mean_cos2,-0.05090315683811167,-0.06737926118497392,-0.034427052491249416
15,2.0,1,OracleRKHS,function_mean_cos2,0.36456248581244766,0.3271848534316307,0.40194011819326464
15,2.0,1,OracleL2,function_mean_cos2,-0.2110235836923765,-0.24807253633136844,-0.17397463105338457
15,2.0,2,OracleRKHS,function_mean_cos2,0.18679788149204696,0.16833555696386024,0.20526020602023368
15,2.0,2,OracleL2,function_mean_cos2,-0.12074844535875996,-0.13919404652492276,-0.10230284419259716
15,2.0,3,OracleRKHS,function_mean_cos2,0.12069092364077008,0.10792151778145094,0.1334603295000892
15,2.0,3,OracleL2,function_mean_cos2,-0.09131557713563486,-0.10685371043085806,-0.07577744384041166
30,0.5,1,OracleRKHS,function_mean_cos2,0.18945492186046767,0.1621510001933556,0.21675884352757974
30,0.5,1,OracleL2,function_mean_cos2,0.13248876107679142,0.09601512344348821,0.1689623987100946
30,0.5,2,OracleRKHS,function_mean_cos2,0.1255816041932019,0.11241310759002429,0.13875010079637953
30,0.5,2,OracleL2,function_mean_cos2,0.004084126077020658,-0.01187103411961547,0.020039286273656785
30,0.5,3,OracleRKHS,function_mean_cos2,0.06304305005481367,0.05267493695818491,0.07341116315144243
30,0.5,3,OracleL2,function_mean_cos2,0.003773730375878106,-0.00733812108181576,0.014885581833571972
30,1.0,1,OracleRKHS,function_mean_cos2,0.32186531672905455,0.2854912635591884,0.3582393698989207
30,1.0,1,OracleL2,function_mean_cos2,-0.14378384780721645,-0.18116291340965004,-0.10640478220478286
30,1.0,2,OracleRKHS,function_mean_cos2,0.1457019257201913,0.12694028436099705,0.16446356707938556
30,1.0,2,OracleL2,function_mean_cos2,-0.14613315960950551,-0.16647317237469156,-0.12579314684431947
30,1.0,3,OracleRKHS,function_mean_cos2,0.0313034514454779,0.015772463358654107,0.046834439532301694
30,1.0,3,OracleL2,function_mean_cos2,-0.09701780220513836,-0.11178280334356923,-0.0822528010667075
30,2.0,1,OracleRKHS,function_mean_cos2,0.28068400385782843,0.24675939631056285,0.314608611405094
30,2.0,1,OracleL2,function_mean_cos2,-0.18011716332781028,-0.21181135738203805,-0.1484229692735825
30,2.0,2,OracleRKHS,function_mean_cos2,0.13291577329256776,0.10879795977499554,0.15703358681013999
30,2.0,2,OracleL2,function_mean_cos2,-0.12803563363157378,-0.14768426278042904,-0.10838700448271851
30,2.0,3,OracleRKHS,function_mean_cos2,0.049427847346476456,0.025607363902614394,0.07324833079033852
30,2.0,3,OracleL2,function_mean_cos2,-0.1030490287679972,-0.11917128374405446,-0.08692677379193993
50,0.5,1,OracleRKHS,function_mean_cos2,0.1978264395634326,0.16854391718361933,0.22710896194324587
50,0.5,1,OracleL2,function_mean_cos2,0.10533089217131984,0.06538309988436558,0.1452786844582741
50,0.5,2,OracleRKHS,function_mean_cos2,0.09113620781126099,0.07833974671366987,0.1039326689088521
50,0.5,2,OracleL2,function_mean_cos2,0.021371513389823196,0.009176742008895102,0.03356628477075129
50,0.5,3,OracleRKHS,function_mean_cos2,0.052699844195010746,0.040178456406909896,0.0652212319831116
50,0.5,3,OracleL2,function_mean_cos2,0.010679275394863151,-0.002280534252869483,0.023639085042595785
50,1.0,1,OracleRKHS,function_mean_cos2,0.373161485698097,0.33493875834642994,0.411384213049764
50,1.0,1,OracleL2,function_mean_cos2,-0.1513766722644473,-0.19295261159858984,-0.10980073293030473
50,1.0,2,OracleRKHS,function_mean_cos2,0.19884158304565505,0.17871021951791133,0.21897294657339877
50,1.0,2,OracleL2,function_mean_cos2,-0.13825042950004804,-0.15887099512527894,-0.11762986387481714
50,1.0,3,OracleRKHS,function_mean_cos2,0.09293456408524502,0.07879644058238008,0.10707268758810995
50,1.0,3,OracleL2,function_mean_cos2,-0.08398018630233921,-0.09746862423249004,-0.07049174837218837
50,2.0,1,OracleRKHS,function_mean_cos2,0.2985918519001842,0.2615641682505272,0.33561953554984125
50,2.0,1,OracleL2,function_mean_cos2,-0.2963589370937107,-0.33549211128819906,-0.25722576289922233
50,2.0,2,OracleRKHS,function_mean_cos2,0.1000504174632711,0.0770084884106221,0.1230923465159201
50,2.0,2,OracleL2,function_mean_cos2,-0.19093099874573496,-0.2131060972944977,-0.16875590019697223
50,2.0,3,OracleRKHS,function_mean_cos2,-0.059826393099746786,-0.07861785488929682,-0.04103493131019675
50,2.0,3,OracleL2,function_mean_cos2,-0.13662811606179506,-0.15099814122445906,-0.12225809089913105
