N_obs,SNR,rep,L,regularization,xcv_score,OracleRKHS_L2_function_mean_cos2,OracleRKHS_RKHS_function_mean_cos2,OracleL2_L2_function_mean_cos2,OracleL2_RKHS_function_mean_cos2
15,0.5,0,1,0.1,-1.094086567983624,0.14862215044717178,0.0003251616246645988,0.5903133715027555,0.07312931574586652
15,0.5,0,2,0.1,-1.094086567983624,0.6453326896506714,0.7049673004329959,0.858184228570271,0.8888759129317639
15,0.5,0,3,0.1,-1.094086567983624,0.720301872678954,0.6676125941393273,0.8817312655471382,0.8285552446727736
15,0.5,1,1,1.0,-1.1131547861142566,0.009254656601980658,0.0009577632881207212,0.6588044584199055,0.6070324962641269
15,0.5,1,2,1.0,-1.1131547861142566,0.5951127975665517,0.6883516792100259,0.8233471966178533,0.8819219963288987
15,0.5,1,3,1.0,-1.1131547861142566,0.6437362342719373,0.637012719522891,0.8447751505066482,0.8386067285281104
15,0.5,2,1,1.0,-1.106671061780454,0.3386302624218988,0.5732873573848679,0.7102682053865943,0.898608162508976
15,0.5,2,2,1.0,-1.106671061780454,0.4916658362438215,0.5715346892940643,0.8475025440898486,0.839187683729181
15,0.5,2,3,1.0,-1.106671061780454,0.7226544340218358,0.7333575410179306,0.8592182325238799,0.8683088192741416
15,0.5,3,1,1.0,-1.1046051666114218,0.05177260755323913,0.14980054633738413,0.16804553502064676,0.4138410275537587
15,0.5,3,2,1.0,-1.1046051666114218,0.5072695489252935,0.513196888930313,0.6583859584292824,0.6619687845670397
15,0.5,3,3,1.0,-1.1046051666114218,0.6831810525182801,0.6835038592562014,0.8192391187344473,0.8282635277384385
15,0.5,4,1,0.1,-1.0936139419508193,0.00026269892720036505,0.022191931063040522,0.13947027481904894,0.005854268862842083
15,0.5,4,2,0.1,-1.0936139419508193,0.44483734738405045,0.4956199325506615,0.9119372945524895,0.9269140753317731
15,0.5,4,3,0.1,-1.0936139419508193,0.6922092121077594,0.7590102040460711,0.8960159340171286,0.9288931328218296
15,0.5,5,1,0.1,-1.0915509208032501,0.21669645560966577,0.6634335539701468,0.4865019117310305,0.8475152546955145
15,0.5,5,2,0.1,-1.0915509208032501,0.4638276173202958,0.40105564530713356,0.8499678062139794,0.6206973012787058
15,0.5,5,3,0.1,-1.0915509208032501,0.6181522719186059,0.5762140579425901,0.7678847991168608,0.7771023970803038
15,0.5,6,1,0.1,-1.0875994680031276,0.3097544489038491,0.663475577086894,0.5186911621197444,0.37728331173819596
15,0.5,6,2,0.1,-1.0875994680031276,0.6379393217074387,0.8012443795570043,0.9486397666274887,0.8894102922854862
15,0.5,6,3,0.1,-1.0875994680031276,0.7067152102042139,0.6991064082937379,0.9709643455221766,0.9501651213237047
15,0.5,7,1,0.1,-1.0505535436568898,0.20305030699079607,0.42301134493156456,0.235738244865941,0.4560276692013015
15,0.5,7,2,0.1,-1.0505535436568898,0.5983338185852212,0.7384105185499228,0.8767072689326345,0.9425032398048363
15,0.5,7,3,0.1,-1.0505535436568898,0.665749847925747,0.6725443841336878,0.9762548963251838,0.94919762942617
15,0.5,8,1,0.1,-1.0517373780186032,0.00014818284345148868,0.034195575324850076,0.00037716907959182635,0.09140844246069468
15,0.5,8,2,0.1,-1.0517373780186032,0.5852454041193446,0.7693904305892443,0.9304406059892176,0.985279406830339
15,0.5,8,3,0.1,-1.0517373780186032,0.639549452442329,0.654549110918862,0.9663504029992804,0.8941742343080534
15,0.5,9,1,1.0,-1.134988662347074,0.08000032452726136,0.24464171622748312,0.3030722975108744,0.6681035073590965
15,0.5,9,2,1.0,-1.134988662347074,0.4475076013581712,0.4710718373612003,0.8988668225294163,0.9103533397921438
15,0.5,9,3,1.0,-1.134988662347074,0.6832243030919329,0.6928988512321737,0.7669455941197949,0.7790894931680853
15,0.5,10,1,0.1,-1.0930904806543242,0.12055116228008833,0.8976674681958206,0.27814027517966244,0.8493892884338977
15,0.5,10,2,0.1,-1.0930904806543242,0.7244080885958407,0.9023122235577139,0.9497103094146954,0.8666808956882078
15,0.5,10,3,0.1,-1.0930904806543242,0.860305221753168,0.6954796034991954,0.9572740071741072,0.8835608446395788
15,0.5,11,1,0.1,-1.0957281329076773,0.4639510227471215,0.31515190348693123,0.8922378457815935,0.7888055341834357
15,0.5,11,2,0.1,-1.0957281329076773,0.5843115138995008,0.9083954319968216,0.8245171434142711,0.8869191941615218
15,0.5,11,3,0.1,-1.0957281329076773,0.7489473759349327,0.7505738781721529,0.7820523985132581,0.8026562627228754
15,0.5,12,1,1.0,-1.1149917737919464,0.04054233460711807,0.05240546727319197,0.4705036832914703,0.5540452422767518
15,0.5,12,2,1.0,-1.1149917737919464,0.3558299471495531,0.38412105163094884,0.658338609319365,0.6615772094031737
15,0.5,12,3,1.0,-1.1149917737919464,0.6464709738199633,0.6525894737192636,0.8353149453302319,0.863907655392191
15,0.5,13,1,1.0,-1.10884336116972,0.14568535787626416,0.1714013761597894,0.6479275353233351,0.6948286045753392
15,0.5,13,2,1.0,-1.10884336116972,0.3174469010194642,0.2961086954814882,0.7389950098708098,0.724607850671457
15,0.5,13,3,1.0,-1.10884336116972,0.6326125293280925,0.6330303744926785,0.8128185140326968,0.8258131608118608
15,0.5,14,1,0.1,-1.0682946672251554,0.06273617327511388,0.22322471590657528,0.4076636425270349,0.7104246416409711
15,0.5,14,2,0.1,-1.0682946672251554,0.39339227527229587,0.5754036564301813,0.7038983284495003,0.5510578321126484
15,0.5,14,3,0.1,-1.0682946672251554,0.6851715160922033,0.7330284381599957,0.8423085762352426,0.8694418427338277
15,0.5,15,1,0.1,-1.0324197678536249,0.4007469618189208,0.5153219025679331,0.17071480588305873,0.07978114907573536
15,0.5,15,2,0.1,-1.0324197678536249,0.6271753450956281,0.7296719742725034,0.8862852035304625,0.9431238296739551
15,0.5,15,3,0.1,-1.0324197678536249,0.6424377359592698,0.6401494193600595,0.9762670620541215,0.9891880791065875
15,0.5,16,1,0.1,-1.0904656610668402,0.15791141141609882,0.37633536570628023,0.9532805836435561,0.7197886378187079
15,0.5,16,2,0.1,-1.0904656610668402,0.4967426719603548,0.46200767663348885,0.7601032509147676,0.7266028117375799
15,0.5,16,3,0.1,-1.0904656610668402,0.655564457953362,0.8601838411904135,0.698749187569065,0.7473359705540433
15,0.5,17,1,0.1,-1.0971818046326511,0.3807972936828962,0.45073948099733174,0.7250894350992022,0.8448409066594542
15,0.5,17,2,0.1,-1.0971818046326511,0.6047000282775052,0.7241464950288665,0.815452151111225,0.8724368121124066
15,0.5,17,3,0.1,-1.0971818046326511,0.7320058000069679,0.7517140909923846,0.9223720322242773,0.9373698365772126
15,0.5,18,1,0.1,-1.101133515358347,0.07795526714505971,0.5104322761101368,0.0669338746613329,0.7489854057683104
15,0.5,18,2,0.1,-1.101133515358347,0.5005719728111854,0.46057952588883244,0.9549849224165776,0.8781633931567101
15,0.5,18,3,0.1,-1.101133515358347,0.7988131901513568,0.8969649491750985,0.9394593353386563,0.9430516936753414
15,0.5,19,1,0.1,-1.0743525799824054,0.4899970572644358,0.6446014162420811,0.6527896257914612,0.8113338710331368
15,0.5,19,2,0.1,-1.0743525799824054,0.5957551026412117,0.6618974353055745,0.8107831340865143,0.7857949581276271
15,0.5,19,3,0.1,-1.0743525799824054,0.6286925695812852,0.5554539420917669,0.684360213577445,0.6897642203119981
15,0.5,20,1,1000.0,-1.1119386512932534,0.11977125821853542,0.14968194394276965,0.6870175678417542,0.7357507362153023
15,0.5,20,2,1000.0,-1.1119386512932534,0.40785338611805433,0.46133292192916403,0.8481079347582028,0.8417676784916812
15,0.5,20,3,1000.0,-1.1119386512932534,0.6908425724862255,0.6962083951010626,0.8467359141974288,0.8506963035608406
15,0.5,21,1,0.1,-1.0529650113644038,0.3215501715989098,0.3688561664719682,0.7277178644323828,0.6841266280759102
15,0.5,21,2,0.1,-1.0529650113644038,0.21861161827161446,0.28870803077560125,0.6706262593830963,0.47460664573603834
15,0.5,21,3,0.1,-1.0529650113644038,0.674984258903437,0.5809092457699614,0.9306769979910473,0.8162654041258316
15,0.5,22,1,1.0,-1.1265659499684202,0.019860714780782218,0.02589434396656012,0.20661086702929823,0.14398957525813869
15,0.5,22,2,1.0,-1.1265659499684202,0.48811756684774205,0.4825845264775901,0.7162372983925386,0.5473501045616924
15,0.5,22,3,1.0,-1.1265659499684202,0.8567377164128512,0.8890261006082184,0.9629015487915625,0.965770600901938
15,0.5,23,1,0.1,-1.089482615733538,0.1924727931725691,0.23126173969762343,0.7167106094652801,0.8241069904042048
15,0.5,23,2,0.1,-1.089482615733538,0.4326293523144382,0.5020240202564279,0.8590065198467145,0.8854270502023117
15,0.5,23,3,0.1,-1.089482615733538,0.6954536668612706,0.84788973956895,0.8520626549622697,0.8540843652035118
15,0.5,24,1,1.0,-1.1002590985559115,0.15317221393183786,0.3081435088517187,0.37621434811126,0.6065127784008173
15,0.5,24,2,1.0,-1.1002590985559115,0.3718026828244901,0.4078539886442158,0.7284914962271655,0.724806842650557
15,0.5,24,3,1.0,-1.1002590985559115,0.6342108398111405,0.631390509435987,0.8445412848080226,0.8538448080330507
15,0.5,25,1,0.1,-1.0967037874879138,0.3122095201901506,0.38034852275580344,0.9047647028450855,0.958385992284741
15,0.5,25,2,0.1,-1.0967037874879138,0.5212658438312509,0.562725601846895,0.8501504003810175,0.8712299558461427
15,0.5,25,3,0.1,-1.0967037874879138,0.7036159270180712,0.819487526296553,0.9489822173346579,0.9414132403330572
15,0.5,26,1,0.1,-1.0893051009611272,0.20974203103381625,0.31092893864395266,0.7187316671479436,0.6540250827927816
15,0.5,26,2,0.1,-1.0893051009611272,0.5136917397013026,0.7273776903159004,0.7862948003245742,0.6206163386109634
15,0.5,26,3,0.1,-1.0893051009611272,0.6898346213038008,0.6293050313913736,0.8584854283371968,0.8690333162308722
15,0.5,27,1,0.1,-1.085314839161285,0.2345194573631599,0.3085426700477317,0.8961867438621248,0.9502551527365174
15,0.5,27,2,0.1,-1.085314839161285,0.5428770697033785,0.5919783453516748,0.9577714315794339,0.9734739514761105
15,0.5,27,3,0.1,-1.085314839161285,0.645855779172693,0.71849440751061,0.8745323580965203,0.7615475206142309
15,0.5,28,1,0.1,-1.0449828867809816,0.37356107367982005,0.5136976976244889,0.7917374049983966,0.9073420858990626
15,0.5,28,2,0.1,-1.0449828867809816,0.439736644178652,0.6512816950307845,0.8900236408249775,0.8307053448992214
15,0.5,28,3,0.1,-1.0449828867809816,0.7227988494997749,0.8257777449170701,0.9451645217703568,0.9548678369729782
15,0.5,29,1,0.1,-1.051607312366546,0.04722034561655361,0.024689556146589933,0.857647738549873,0.8852398509448123
15,0.5,29,2,0.1,-1.051607312366546,0.45855308704752085,0.4599784563445337,0.7902643104464764,0.7573134712002783
15,0.5,29,3,0.1,-1.051607312366546,0.696891620660156,0.758768647930632,0.8803000766747645,0.948491419818533
15,0.5,30,1,1.0,-1.1022057350710603,0.26008608259426275,0.3226001873365955,0.6798883417538123,0.7232097739775045
15,0.5,30,2,1.0,-1.1022057350710603,0.6105561218982632,0.6835842313526111,0.7637882450636848,0.8151592838802344
15,0.5,30,3,1.0,-1.1022057350710603,0.6341493837340603,0.6340383138649881,0.7869640407603579,0.7984265332890966
15,0.5,31,1,0.1,-1.080523099325178,0.06969107090868208,0.07658581259991841,0.33124414925790474,0.26165118285877065
15,0.5,31,2,0.1,-1.080523099325178,0.48702220951742486,0.729418101289214,0.9054415756884917,0.8402001563570662
15,0.5,31,3,0.1,-1.080523099325178,0.6913045381841926,0.7966109636351679,0.8497897738893142,0.9331202563538228
15,0.5,32,1,0.1,-1.088659347602043,0.12186446678742166,0.00512515487370227,0.9317565196992347,0.557103576402681
15,0.5,32,2,0.1,-1.088659347602043,0.4991796606250287,0.6717811989125106,0.9515191358215513,0.9828706553865615
15,0.5,32,3,0.1,-1.088659347602043,0.6566358917214487,0.8770868429530424,0.9477477246500509,0.6656225591339157
15,0.5,33,1,0.1,-1.0824092937635998,0.18961502774986871,0.1363017922023872,0.4797591415534262,0.5650212091653534
15,0.5,33,2,0.1,-1.0824092937635998,0.45763336362050766,0.7957251285282874,0.9608155838272552,0.6933979325367546
15,0.5,33,3,0.1,-1.0824092937635998,0.6601633033330251,0.789887895664692,0.8605479117081414,0.6708917490325169
15,0.5,34,1,1.0,-1.1046588092834062,0.20850379409046635,0.3584207442990563,0.5167524631411331,0.7136768852048547
15,0.5,34,2,1.0,-1.1046588092834062,0.2532252477511456,0.3265058499376268,0.7433926893994335,0.7766568777446443
15,0.5,34,3,1.0,-1.1046588092834062,0.6589009009392598,0.6772642251147151,0.8202195682049482,0.789626422818492
15,0.5,35,1,1.0,-1.12411699203497,0.07689380664660309,0.014150425212027577,0.3082083891668492,0.13470569968097795
15,0.5,35,2,1.0,-1.12411699203497,0.6630634429805423,0.7239896732977515,0.8569179442598974,0.8875174561143468
15,0.5,35,3,1.0,-1.12411699203497,0.7012450771041324,0.7222316612307402,0.9083334619351048,0.9241196437312169
15,0.5,36,1,1.0,-1.1008112655931428,0.08618838127461514,0.0911900859992315,0.013644906678774354,0.7405166015369081
15,0.5,36,2,1.0,-1.1008112655931428,0.3330553472702076,0.32108268580497373,0.6810353851801036,0.6754769525155818
15,0.5,36,3,1.0,-1.1008112655931428,0.6645504319360648,0.6628526336525925,0.9013081478812571,0.9004602473554434
15,0.5,37,1,1.0,-1.1251192111721962,0.0830192397056548,0.05529977504537117,0.8940948014023375,0.9159140977868274
15,0.5,37,2,1.0,-1.1251192111721962,0.3582719106206087,0.3772074739178102,0.8993676379826256,0.9150512892444462
15,0.5,37,3,1.0,-1.1251192111721962,0.660961291176323,0.6516755897822136,0.9646254050463345,0.9622888480621189
15,0.5,38,1,0.1,-1.0637790065731585,0.46003141359915206,0.6587365494693026,0.9585328229895282,0.9665604110286151
15,0.5,38,2,0.1,-1.0637790065731585,0.45206951185114386,0.4657737587922033,0.9179120890063516,0.9434446260226842
15,0.5,38,3,0.1,-1.0637790065731585,0.6885198094269155,0.6615393308730294,0.8702901905439787,0.8580560189933836
15,0.5,39,1,0.1,-1.044354356218394,0.3983367443284448,0.4963152288126067,0.7361025032605333,0.7121007950549252
15,0.5,39,2,0.1,-1.044354356218394,0.524516427433384,0.5848768619493444,0.8339460242234411,0.8674344395272475
15,0.5,39,3,0.1,-1.044354356218394,0.6301376930582875,0.6342183058870302,0.6562789007410589,0.6771081566398478
15,0.5,40,1,1.0,-1.1328998581102148,0.0523788895358157,0.0012826625678955667,0.6200148262073498,0.6239260032896128
15,0.5,40,2,1.0,-1.1328998581102148,0.39494081843397694,0.4219733996016576,0.7593954630389907,0.7661892353972095
15,0.5,40,3,1.0,-1.1328998581102148,0.6534261294886106,0.6552200453913503,0.9255932957328316,0.9489933106414216
15,0.5,41,1,0.1,-1.0805989371714475,0.07386315165164363,0.08770616239880485,0.8020089469943548,0.6301069372042852
15,0.5,41,2,0.1,-1.0805989371714475,0.54032383492231,0.5369454483308741,0.8502480710602093,0.8514357148401503
15,0.5,41,3,0.1,-1.0805989371714475,0.6698796588029241,0.8943148155751145,0.8215404442299544,0.9250919080646679
15,0.5,42,1,0.1,-1.0658161946066167,0.19756317839428142,0.4071761966683432,0.028947236356067114,0.2578290520312502
15,0.5,42,2,0.1,-1.0658161946066167,0.5153190171900836,0.46896087948166293,0.736913724796878,0.49708123918975383
15,0.5,42,3,0.1,-1.0658161946066167,0.6328744668001811,0.6320793358991226,0.6823463846015404,0.6692047633890909
15,0.5,43,1,0.1,-1.068361640242718,0.43314790506086764,0.44754706290418567,0.8232077177118147,0.8883422753330852
15,0.5,43,2,0.1,-1.068361640242718,0.44545810134810193,0.6161654769635808,0.7827984270126538,0.8832343755930865
15,0.5,43,3,0.1,-1.068361640242718,0.640737230285661,0.6747186218808757,0.7886665366789115,0.7326350853795724
15,0.5,44,1,1.0,-1.0959586838637445,0.023619663630163764,0.1311240970311157,0.13947720035084696,0.2701442568361659
15,0.5,44,2,1.0,-1.0959586838637445,0.3211753915990077,0.33258654117473707,0.8240319311616893,0.8296920982504329
15,0.5,44,3,1.0,-1.0959586838637445,0.6622245506058811,0.7102550505549216,0.7395196949728359,0.8528739148272217
15,0.5,45,1,1.0,-1.0933864903629016,0.06412042565582486,0.0600016875267771,0.39849310266773585,0.3708897601190844
15,0.5,45,2,1.0,-1.0933864903629016,0.3865116455846447,0.4109287805999978,0.7106705952730703,0.7042889721483798
15,0.5,45,3,1.0,-1.0933864903629016,0.6692523309369678,0.6726867643293355,0.790087459984159,0.8020461113908827
15,0.5,46,1,0.1,-1.0714030292467507,0.39203331386052825,0.4956459895112769,0.44861404320039316,0.5789365604599659
15,0.5,46,2,0.1,-1.0714030292467507,0.5134701485533829,0.5633508273193574,0.9089789144357907,0.9111834379226034
15,0.5,46,3,0.1,-1.0714030292467507,0.8299085267284907,0.8402641486299446,0.9310713513693192,0.9393558866559278
15,0.5,47,1,0.1,-1.1048340776899315,0.04993879357853974,0.12787868420869455,0.609372457377882,0.10356609155388426
15,0.5,47,2,0.1,-1.1048340776899315,0.4133333345734779,0.5041288723343401,0.8313897584811638,0.6604611828686484
15,0.5,47,3,0.1,-1.1048340776899315,0.7203205492177074,0.6697850984984348,0.9838162405968042,0.8072824994745829
