N_obs,SNR,L,target,method,metric,mean,ci_low,ci_high
15,0.5,1,OracleRKHS,L2,function_mean_cos2,0.19046852009827803,0.16641738348517315,0.2145196567113829
15,0.5,1,OracleRKHS,RKHS,function_mean_cos2,0.32081555799529093,0.2839167390425727,0.35771437694800917
15,0.5,1,OracleL2,L2,function_mean_cos2,0.5111801750630321,0.46998325646390554,0.5523770936621587
15,0.5,1,OracleL2,RKHS,function_mean_cos2,0.6234071187583561,0.583469193488868,0.6633450440278441
15,0.5,2,OracleRKHS,L2,function_mean_cos2,0.47120406048813007,0.4547159369174128,0.48769218405884734
15,0.5,2,OracleRKHS,RKHS,function_mean_cos2,0.5519148307931412,0.5308750019060824,0.5729546596802
15,0.5,2,OracleL2,L2,function_mean_cos2,0.8185915302701214,0.8053107418377424,0.8318723187025004
15,0.5,2,OracleL2,RKHS,function_mean_cos2,0.7987836309621157,0.7803998073943542,0.8171674545298772
15,0.5,3,OracleRKHS,L2,function_mean_cos2,0.6778524042433709,0.6706753162274491,0.6850294922592927
15,0.5,3,OracleRKHS,RKHS,function_mean_cos2,0.7037976335735692,0.69229803415855,0.7152972329885884
15,0.5,3,OracleL2,L2,function_mean_cos2,0.8568332262928472,0.8445943540345529,0.8690720985511415
15,0.5,3,OracleL2,RKHS,function_mean_cos2,0.8475826157503203,0.8342763825332657,0.8608888489673749
15,1.0,1,OracleRKHS,L2,function_mean_cos2,0.3515161984681297,0.3170381028562203,0.3859942940800391
15,1.0,1,OracleRKHS,RKHS,function_mean_cos2,0.597190593789685,0.5609463753324527,0.6334348122469172
15,1.0,1,OracleL2,L2,function_mean_cos2,0.7396140022862148,0.7030401719776345,0.7761878325947951
15,1.0,1,OracleL2,RKHS,function_mean_cos2,0.7284456300939074,0.6885591109054505,0.7683321492823643
15,1.0,2,OracleRKHS,L2,function_mean_cos2,0.6021270771278807,0.5823646444997364,0.6218895097560251
15,1.0,2,OracleRKHS,RKHS,function_mean_cos2,0.6851772889632531,0.6657141765631787,0.7046404013633276
15,1.0,2,OracleL2,L2,function_mean_cos2,0.9112117493893857,0.9006356296810024,0.9217878690977689
15,1.0,2,OracleL2,RKHS,function_mean_cos2,0.8488203589260838,0.8279462534711838,0.8696944643809837
15,1.0,3,OracleRKHS,L2,function_mean_cos2,0.7429733727032982,0.7301569480472728,0.7557897973593236
